RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1117,2-1252-03,2,1252,3,,,John,Polwhele,,,Treworgan,Cornwall,,,,
1118,2-1252-04,2,1252,4,,,Mary,Poyntz,,widow of Capt Newdigate,Dogsthorpe,Northamptonshire,,,,
1119,2-1252-04,2,1252,4,,Captain,Newdigate,Poyntz,,late husband of Mary,Dogsthorpe,Northamptonshire,,,,
1120,2-1252-05,2,1252,5,,,Edmund,Prigg,senior,,East Lambrook,Somerset,,,,
1121,2-1252-05,2,1252,5,,,Edmund,Prigg,junior,,Kingsbury,Somerset,,,,
1122,2-1252-06,2,1252,6,,,Humphrey,Prouse,,,Exeter,Devon,Chagford,Devon,,
1123,2-1252-06,2,1252,6,,,John,Prouse,,son of Humphrey,,,,,,
1124,2-1252-07,2,1252,7,,Sir,Peter,Richaut,,merchant,London,London,Aylsford,Kent,,
1125,2-1252-07,2,1252,7,,,Peter,Richaut,junior,son of Sir Peter,,,,,,
1126,2-1254-01,2,1254,1,,,James,Rodd,,merchant,Stoke Canon,Devon,,,,
1127,2-1255-01,2,1255,1,,Sir,Martin,Sandys,,,Bedwardine,Worcestershire,,,,
1128,2-1255-02,2,1255,2,,,Oliver,Saul,,,Penrice,Cornwall,,,,
1129,2-1255-03,2,1255,3,,,Thomas,Shapcote,,attorney,Exeter,Devon,,,,
1130,2-1255-03,2,1255,3,,,Philip,Shapcote,,son of Thomas,,,,,,
1131,2-1255-04,2,1255,4,,,Robert,Shaw,,,East Ardsley,Yorkshire,,,,
1132,2-1256-01,2,1256,1,,,William,Sleaford,,,Obthorp,Lincolnshire,,,,
1133,2-1256-02,2,1256,2,,,Ralph,Stevenson,,,Bishop Burton,Yorkshire,,,,
1134,2-1256-02,2,1256,2,,,Nicholas,Stevenson,,,Bishop Burton,Yorkshire,,,,
1135,2-1256-03,2,1256,3,,,Thomas,Stucley,,,Afton,Devon,,,,
1136,2-1256-04,2,1256,4,,,Ellis,Sutton,,,Gwersyllt,Denbighshire,,,,
1137,2-1256-05,2,1256,5,,Lady,Anne,Sydenham,,widow,Brimpton,Somerset,,,,
